reaction_id	name	definition	equation	ec_numbers
R00009	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	2 Hydrogen peroxide <=> Oxygen + 2 H2O	2 C00027 <=> C00007 + 2 C00001	1.11.1.6; 1.11.1.21
R00010	alpha,alpha-trehalose glucohydrolase	alpha,alpha-Trehalose + H2O <=> 2 D-Glucose	C01083 + C00001 <=> 2 C00031	3.2.1.28
R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2	C00022 + C00068 <=> C05125 + C00011	1.2.4.1; 2.2.1.6; 4.1.1.1
R00022	chitobiose N-acetylglucosaminohydrolase	Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine	C01674 + C00001 <=> 2 C00140	3.2.1.52
R00028	maltose glucohydrolase	Maltose + H2O <=> 2 D-Glucose	C00208 + C00001 <=> 2 C00031	3.2.1.20
R00031	1,2-benzenediol:oxygen oxidoreductase	Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine	C00007 + 2 C00082 <=> 2 C00355	1.10.3.1; 1.14.18.1
R00032	beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	beta-Carotene + Oxygen <=> 2 Retinal	C02094 + C00007 <=> 2 C00376	1.13.11.63
R00036	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing	2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O	2 C00430 <=> C00931 + 2 C00001	4.2.1.24
R00073	reduced acceptor:prostaglandin G2 oxidoreductase	Prostaglandin H2 + Acceptor + H2O <=> Prostaglandin G2 + Reduced acceptor	C00427 + C00028 + C00001 <=> C05956 + C00030	1.14.99.1
R00078	Fe(II):oxygen oxidoreductase	Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O	C00007 + 4 C14818 + 4 C00080 <=> 4 C14819 + 2 C00001	1.16.3.1
R00084	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia	4 C00931 + C00001 <=> C01024 + 4 C00014	2.5.1.61
R00086	ATP phosphohydrolase	ATP + H2O <=> ADP + Orthophosphate	C00002 + C00001 <=> C00008 + C00009	3.6.1.5; 3.6.1.8; 3.6.1.15; 3.6.1.-; 7.1.2.2
R00087	ATP diphosphohydrolase (diphosphate-forming)	ATP + H2O <=> AMP + Diphosphate	C00002 + C00001 <=> C00020 + C00013	3.6.1.8; 3.6.1.9; 4.2.1.186
R00089	ATP diphosphate-lyase (cyclizing	ATP <=> 3',5'-Cyclic AMP + Diphosphate	C00002 <=> C00575 + C00013	4.6.1.1
R00093	L-glutamate:NAD+ oxidoreductase (transaminating)	2 L-Glutamate + NAD+ <=> L-Glutamine + 2-Oxoglutarate + NADH + H+	2 C00025 + C00003 <=> C00064 + C00026 + C00004 + C00080	1.4.1.14
